Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD003417	healthy	NA	1	1	0	0	0	ORF1p_PA2_32_(27.354),ORF1p_HS_94_(19.048)	0	0	NA
PXD003417	healthy	NA	1	2	0	0	0	ORF1p_PA2_32_(27.354),ORF1p_HS_94_(19.048)	0	0	NA
PXD003417	adjacent	NA	2	1	0	0	0	0	0	0	NA
PXD003417	adjacent	NA	2	2	0	0	0	0	0	0	NA
PXD003417	disease	NA	3	1	0	0	0	0	0	0	NA
PXD003417	disease	NA	3	2	0	0	0	0	0	0	NA
PXD003417	healthy	NA	1	1	0	0	0	ORF1p_PA2_32_(27.354),ORF1p_HS_94_(19.048)	0	0	NA
PXD003417	healthy	NA	2	1	0	0	0	0	0	0	NA
PXD003417	healthy	NA	3	1	0	0	0	0	0	0	NA
PXD003417	healthy	NA	4	1	0	0	0	0	0	0	NA
PXD003417	healthy	NA	5	1	0	0	0	0	0	0	NA
PXD003417	healthy	NA	6	1	0	0	0	0	0	0	NA
