Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD003406	healthy	NA	1	1	0	0	0	0	0	0	NA
PXD003406	healthy	NA	2	1	0	0	0	ORF1p_HS_54_(18.588)	ORF2p_PA2_31_(8.882)	0	NA
PXD003406	healthy	NA	3	1	0	0	0	ORF1p_HS_94_(50.296)	ORF2p_PA2_34_(23.229)	0	NA
PXD003406	healthy	NA	4	1	0	0	0	ORF1p_HS_94_(65.672)	0	0	NA
PXD003406	healthy	NA	5	1	0	0	0	ORF1p_PA2_15_(11.744)	ORF2p_PA2_9_(47.368)	0	NA
PXD003406	healthy	NA	6	1	0	0	0	ORF1p_HS_54_(14.925)	ORF2p_PA2_7_(2.062)	0	NA
PXD003406	healthy	NA	7	1	0	0	0	0	ORF2p_HS_92_(27.123),ORF2p_HS_103_(26.942)	0	NA
PXD003406	healthy	NA	8	1	0	0	0	0	0	0	NA
PXD003406	healthy	NA	9	1	0	0	0	ORF1p_HS_96_(32.558)	ORF2p_HS_39_(39.583)	0	NA
PXD003406	healthy	NA	10	1	0	0	0	0	ORF2p_HS_19_(54.564)	0	NA
PXD003406	healthy	NA	11	1	0	0	0	0	ORF2p_HS_116_(56.25),ORF2p_HS_40_(45.163),ORF2p_HS_24_(45.163)	0	NA
PXD003406	healthy	NA	12	1	0	0	0	ORF1p_HS_68_(48.34)	ORF2p_HS_116_(88.912),ORF2p_HS_20_(58.985),ORF2p_PA2_2_(52.11),ORF2p_HS_40_(37.578),ORF2p_PA2_13_(27.893)	0	NA
PXD003406	healthy	NA	13	1	0	0	0	0	ORF2p_HS_116_(50.743)	0	NA
PXD003406	healthy	NA	14	1	0	0	0	0	ORF2p_HS_85_(19.476),ORF2p_PA2_4_(15.631),ORF2p_HS_7_(13.648)	0	NA
PXD003406	healthy	NA	15	1	0	0	0	ORF1p_HS_53_(17.045)	ORF2p_PA2_23_(91.451),ORF2p_PA2_26_(17.442),ORF2p_HS_105_(13.852),ORF2p_HS_106_(3.718)	0	NA
PXD003406	healthy	NA	16	1	0	0	0	ORF1p_PA2_12_(19.355),ORF1p_HS_84_(8.957)	ORF2p_HS_114_(28.188),ORF2p_HS_52_(25.575),ORF2p_PA2_13_(15.074),ORF2p_HS_88_(8.957),ORF2p_HS_100_(8.133),ORF2p_HS_116_(3.562)	C9JL84_(4.144)	NA
PXD003406	healthy	NA	17	1	0	0	0	ORF1p_PA2_12_(10.256)	ORF2p_HS_101_(18.354),ORF2p_HS_20_(8.163)	0	NA
PXD003406	healthy	NA	18	1	0	41.8439716312057	0	0	0	0	NA
PXD003406	healthy	NA	19	1	0	0	0	0	0	0	NA
PXD003406	healthy	NA	20	1	0	0	0	ORF1p_PA2_12_(38.532)	ORF2p_PA2_19_(40.367),ORF2p_HS_103_(34.862),ORF2p_PA2_29_(33.333)	0	NA
PXD003406	healthy	NA	21	1	0	0	0	ORF1p_PA2_12_(17.234)	ORF2p_HS_20_(8.584)	C9J7D0_(19.463)	NA
PXD003406	healthy	NA	22	1	0	78.5714285714286	0	0	0	0	NA
PXD003406	healthy	NA	23	1	0	0	0	ORF1p_HS_55_(27.232)	ORF2p_PA2_25_(29.114)	0	NA
PXD003406	healthy	NA	24	1	0	0	0	0	0	0	NA
PXD003406	healthy	NA	25	1	0	0	0	0	ORF2p_HS_7_(46.875),ORF2p_HS_36_(37.059)	0	NA
PXD003406	healthy	NA	26	1	0	0	0	0	ORF2p_PA2_20_(74.138)	0	NA
