Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD004682	non-small cell lung carcinoma	NA	38	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	39	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	39	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	40	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	40	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	41	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	41	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	42	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	42	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	43	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	43	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	44	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	44	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	45	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	45	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	46	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	46	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	47	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	47	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	48	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	48	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	49	1	0	0	0	0	0	0	NA
